"Not possible","Not available"
"Account number","Account number"
"Bank code","Bank code"
"Holder","Account holder"
"Account number: %s","Account number: %s"
"Bank code: %s","Bank code: %s"
"Account holder: %s","Kontoinhaber: %s"
"Transaction Id: %s","Transaction Id: %s"
"Order No.: ","Order No. "
"Order: ","Order. "
"Gateway request error: %s","Gateway request error: %s"
"Please check your account data.","Please check your account data."
"Invalid amount for authorization.","Invalid amount for authorization."
"Payment was successful.","Payment was successful."
"Paymentinformations: %s";"Paymentinformations: %s"
"Payment was not successfull","Payment was not successfull. An error occured."
"You will be redirected to Sofortüberweisung","You will be redirected to Sofortüberweisung"
"You will be redirected to Sofortueberweisung in a few seconds.","You will be redirected to Sofortueberweisung in a few seconds."
"Sofortueberweisung payment loaded","Sofortueberweisung was loaded"
"Please fill out the account holder","Please fill in the account holder"
"Please fill out the account number","Please fill in the account number"
"Please fill out the bank code","Please fill in the bank code"
"Transaction Id: %s","Transaktions Id: %s"
"Cancelation of payment","Cancelation of payment"
"Paymentinformations: %s","Paymentinformations: %s"
"Paycode: %s","Paycode: %s"
"Project password","Project password"
"Notification password", "Notification password"
"Use input check","Activate input check"
"Create Invoice","Create Invoice after payment"
"Projekt Id","Project ID"
"User Id","User ID"
"Expires","Expires"
"Sofortueberweisung","Sofortüberweisung"
"More","More information"
"Error while saving this configuration: ","Error while saving this configuration: "
"Item was successfully saved","Item was successfully saved."
"Theres no password defined","There is no password defined. Please fill in the created/designed password from the customer area at sofortüberweisung.de in the 
corresponding field for the configuration."
"Get stock articles.","Stock quickly obtained due to immediate dispatch. Now you need your online banking data (PIN/TAN)."
"Your benefit:","Your advantages:"
"Fast shippiung","ships immediately from stock / immediate download"
"Privacy","TÜV-certified privacy"
"No registration","no registration required"
"Save payment","pay safely und fast"
"Paycode information","Product is immediately sent after the payment with a paycode. Your online banking data is primarily needed when paying (PIN und TAN)."
"Netherlands banks","Netherlands banks?"
Customer cancled payment or payment error,Customer cancled payment or payment error
Customer cancled payment,Customer cancled payment
payment error,payment error
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Minimum Orders Count","Minimum Orders Count"